"genes","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000018930",4.39243143470488,2.70827945590784,260.380884344052,1.41740081998381e-58,2.08428790578619e-54
"ENSGMOG00000002177",8.00361651623012,0.188169668774911,153.652030045806,2.75914557753547e-35,2.02866178588295e-31
"ENSGMOG00000016541",4.52043094861729,0.940930109899096,110.710782749287,6.84646148797929e-26,3.35590720602452e-22
"ENSGMOG00000004390",6.20814580958124,3.43351977342439,106.832043988649,4.84542076610643e-25,1.78129780913988e-21
"ENSGMOG00000002238",4.4156380993967,1.22981296401084,64.3180543349962,1.05871134216854e-15,3.11367005731767e-12
"ENSGMOG00000013507",4.92862882560958,3.63540359475062,60.4494970061759,7.54906526965897e-15,1.85015007983892e-11
"ENSGMOG00000003882",1.5917427720378,7.14006159148409,53.3519557671962,2.7883348886938e-13,5.85749493403462e-10
"ENSGMOG00000012235",1.40764981706604,6.58632114692141,50.0507231235648,1.49822568353236e-12,2.75392608454292e-09
"ENSGMOG00000009446",4.3154494723271,1.94667126682788,48.5010923494027,3.30104955869001e-12,5.39354819561517e-09
"ENSGMOG00000019370",4.84313859869487,-1.44204744465067,48.1927796896609,3.86308209361838e-12,5.68066221866582e-09
"ENSGMOG00000000665",5.54428497840943,0.748603503735228,43.1698370416061,5.01884605317855e-11,6.7092846556355e-08
"ENSGMOG00000015291",3.25686604847076,3.02331342259691,42.2777073948453,7.9190097043874e-11,9.70408647525139e-08
"ENSGMOG00000018489",4.51035077951418,-0.412649149333988,39.056015385476,4.11818281548579e-10,4.65829833090142e-07
"ENSGMOG00000006123",1.36070176567167,4.54386723552967,37.8646726539276,7.58259451191798e-10,7.96443230698243e-07
"ENSGMOG00000016966",5.07057078576799,8.43659244001056,36.6118512115043,1.44152650835519e-09,1.39022506969208e-06
"ENSGMOG00000012239",5.13313872209464,6.37251449143303,36.517966138745,1.51265563516309e-09,1.39022506969208e-06
"ENSGMOG00000010752",1.09713677183102,6.4204155209861,36.175639476911,1.80310478750553e-09,1.55968564119228e-06
"ENSGMOG00000013035",1.0127875820566,5.18387856417159,35.9815200356607,1.99197811414421e-09,1.62733545380503e-06
"ENSGMOG00000001225",3.26352237742292,0.0966144465759821,34.8395293411258,3.58029871794452e-09,2.77096277091443e-06
"ENSGMOG00000016012",5.42864970376629,4.98372328638088,31.8440065191956,1.67064386497834e-08,1.21278839087922e-05
"ENSGMOG00000009972",3.09803440041743,-0.941757364189212,31.7739912014217,1.73196574011993e-08,1.21278839087922e-05
"ENSGMOG00000007584",3.89199271277458,0.537975051865651,31.3620588468547,2.14124621051118e-08,1.43122843298032e-05
"ENSGMOG00000011057",1.1015860913146,3.77249269121508,30.9077863515474,2.70583993808378e-08,1.72997288215313e-05
"ENSGMOG00000001997",2.4570945041881,1.0944899457637,30.6797499187709,3.043245577916e-08,1.86462192596895e-05
"ENSGMOG00000003237",1.53580441193853,1.72352175494503,26.7252518931045,2.34536370342324e-07,0.000134191992411555
"ENSGMOG00000019835",1.10701706470708,2.68203371800903,26.7028957153822,2.37265678524341e-07,0.000134191992411555
"ENSGMOG00000002220",7.31410995479823,0.366934013544479,25.6817380750573,4.0261904850161e-07,0.000219278263267266
"ENSGMOG00000012244",3.94507946684925,8.17831749249213,25.4006832876812,4.6575311923489e-07,0.000244603557798181
"ENSGMOG00000016366",3.57351756200914,6.91533893951886,24.7787246120374,6.4303324352157e-07,0.000326062201585679
"ENSGMOG00000016347",4.78559146381861,5.93417161621439,24.519849879321,7.35482208007546e-07,0.000360508862291699
"ENSGMOG00000003762",1.43112561779374,1.09136386925937,24.0764786640824,9.25843258456506e-07,0.000439178229535578
"ENSGMOG00000018518",2.34878936431268,0.537876146427103,23.8227739894268,1.05625324966628e-06,0.000485381376135707
"ENSGMOG00000009714",0.97425191978681,5.76531196356933,23.5031497499633,1.24709435481002e-06,0.00055571280265095
"ENSGMOG00000019156",1.01361840018894,4.96215404721566,22.4000754649575,2.21365314204168e-06,0.000957404983933025
"ENSGMOG00000012229",1.04341793651851,2.65247845881638,21.9818637167409,2.75239083772937e-06,0.00115639735053744
"ENSGMOG00000018391",0.975826550092537,2.69167387171763,21.6757429064146,3.22848065437775e-06,0.00131874466729513
"ENSGMOG00000005292",1.37132883793842,1.7564351517582,21.5163271111352,3.50828943185819e-06,0.0013943080025804
"ENSGMOG00000009717",1.23265897350526,4.65824735770868,21.3633549136234,3.79964672282262e-06,0.00147036329102912
"ENSGMOG00000014285",2.0912998044577,-1.41917868114404,20.2505954961628,6.79323141175925e-06,0.00256139661307486
"ENSGMOG00000019932",6.49114344551685,0.842441418345135,19.267387960565,1.13630758433196e-05,0.00417735075690036
"ENSGMOG00000014898",3.95154156754273,4.18876227202728,19.0060175850479,1.30306858401207e-05,0.00467356671412133
"ENSGMOG00000006817",0.700107274554198,5.62031502429716,18.5745714096759,1.63385509457863e-05,0.00572043789661399
